published_at,ticker,title,desc,url,source,sentiment,sentiment_score
2025-10-14 21:21:42+00:00,META,Facebook removes page used to target ICE agents (META:NASDAQ),Meta removes Facebook page targeting ICE agents in Chicago after DOJ pressure.,https://seekingalpha.com/news/4504086-facebook-removes-page-used-to-target-ice-agents,seekingalpha.com,,
2025-10-14 16:01:10+00:00,META,Taco Traders Meet Cahn; Bank Earnings; New AMD Win; Rush To Buy Quantum And Nuclear Stocks - Apple (NASDAQ:AAPL),"Note to Editor: Please link GLD, SLV, and USO. Thanks! To gain an edge, this is what you need to know today.",https://www.benzinga.com/Opinion/25/10/48204279/taco-traders-meet-cahn-bank-earnings-new-amd-win-rush-to-buy-quantum-and-nuclear-stocks,benzinga.com,,
2025-10-14 15:00:42+00:00,META,Inquiry Into Meta Platforms's Competitor Dynamics In Interactive Media & Services Industry - Meta Platforms (NASDAQ:META),,https://www.benzinga.com/insights/news/25/10/48201614/inquiry-into-meta-platformss-competitor-dynamics-in-interactive-media-amp-services-industry,benzinga.com,,
