ds,ticker,open,high,low,close,volume
,,nvda,nvda,nvda,nvda,nvda
2020-01-02,NVDA,5.942537349164542,5.971409797668457,5.892010445596926,5.971409797668457,237536000
2020-01-03,NVDA,5.851687596513701,5.919638038662146,5.826797295101701,5.875831127166748,205384000
2020-01-06,NVDA,5.782492361769863,5.905698607442574,5.756357761141467,5.9004716873168945,262636000
2020-01-07,NVDA,5.928847472247913,6.017705602199702,5.883796256515214,5.971907615661621,314856000
2020-01-08,NVDA,5.9676755712096945,6.024425398714708,5.927602515447526,5.983107566833496,277108000
2020-01-09,NVDA,6.069477985719002,6.121249669973034,5.995056308289606,6.048819065093994,255112000
2020-01-10,NVDA,6.156095483057426,6.186461474165216,6.066988582177594,6.081175804138184,316296000
2020-01-13,NVDA,6.1643093449606505,6.296973919615413,6.141658878781784,6.271834850311279,319840000
2020-01-14,NVDA,6.229023873013879,6.254412184065293,6.141659275586218,6.15485143661499,359088000
2020-01-15,NVDA,6.16754476983772,6.189945996094547,6.086402634683979,6.112288475036621,263104000
2020-01-16,NVDA,6.16580276377992,6.201893682815855,6.1424060001740175,6.195919990539551,284192000
2020-01-17,NVDA,6.215085171047561,6.222552404840877,6.157091032007724,6.204631328582764,253792000
2020-01-21,NVDA,6.168043581236758,6.204881274165103,6.137179581073634,6.171279430389404,217916000
2020-01-22,NVDA,6.216578763004167,6.311908122294993,6.197662150369321,6.225290298461914,239240000
2020-01-23,NVDA,6.265363445895095,6.302200657894387,6.1765053150200355,6.293737888336182,244516000
2020-01-24,NVDA,6.409229123297355,6.459009733569713,6.180239170582056,6.234499931335449,373512000
2020-01-27,NVDA,5.9298430881536515,6.029653066688247,5.780252977773536,5.978628158569336,470536000
2020-01-28,NVDA,6.044586144319764,6.204381307097855,5.991320931812742,6.172024250030518,310976000
2020-01-29,NVDA,6.157588498886928,6.19367941361647,6.071716979375738,6.111541748046875,258848000
2020-01-30,NVDA,6.013723391219513,6.131703216878175,5.958716335413208,6.11826229095459,290504000
2020-01-31,NVDA,6.0724649332346985,6.084412318689391,5.842977430369718,5.884792804718018,370420000
2020-02-03,NVDA,5.8666224677137775,6.001278596035723,5.8604000101128895,5.9818644523620605,255564000
2020-02-04,NVDA,6.1237365182813335,6.1702812640856655,6.073707159411134,6.151115417480469,271544000
2020-02-05,NVDA,6.272084141575343,6.282289219268242,6.1580869292600395,6.241469383239746,208220000
2020-02-06,NVDA,6.275817310153531,6.328335285186768,6.194675177734428,6.328335285186768,218284000
2020-02-07,NVDA,6.288263439845238,6.310415904271197,6.236740516283871,6.262128829956055,189752000
