ds,ticker,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
,,aapl,aapl,aapl,aapl,aapl,nvda,nvda,nvda,nvda,nvda,msft,msft,msft,msft,msft,amzn,amzn,amzn,amzn,amzn,googl,googl,googl,googl,googl,meta,meta,meta,meta,meta,tsla,tsla,tsla,tsla,tsla
2020-01-02,AAPL,71.5458973217052,72.59889913772518,71.29231130597061,72.53852081298828,135480400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03,AAPL,71.76567430155144,72.59406313642577,71.60869213351766,71.83329772949219,146322800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,AAPL,70.95418800651902,72.44432080433776,70.7030121336898,72.40567779541016,118387200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07,AAPL,72.41532954893665,72.67133299565539,71.84536183598526,72.06513977050781,108872000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08,AAPL,71.76807876823776,73.5262949460089,71.76807876823776,73.22440338134766,132079200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-09,AAPL,74.20254195863613,74.97296995476395,73.95137344000949,74.7797622680664,170108400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-10,AAPL,75.01401242394427,75.51394659034878,74.44645484641248,74.94879913330078,140644800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,AAPL,75.26520375211625,76.57661912211044,75.14685723047293,76.550048828125,121532000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,AAPL,76.48726080979424,76.69737618985954,75.39320591637785,75.51637268066406,161954400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-15,AAPL,75.31591552157606,76.19743749233605,74.76043057245047,75.19274139404297,121923600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-16,AAPL,75.73614811924845,76.24574496948411,75.3738782015038,76.1346435546875,108829200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-17,AAPL,76.38341102005822,76.97994918369933,76.07669177323754,76.9775390625,137816400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-21,AAPL,76.60559336877427,77.04755940221253,76.31819199284013,76.45585632324219,110843200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-22,AAPL,76.94130052804331,77.28183515069573,76.63458130371416,76.72877502441406,101832400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-23,AAPL,76.78190767247501,77.17798563171488,76.23366779231166,77.0982894897461,104472000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-24,AAPL,77.34463502870749,78.08849275649891,76.68530106036428,76.8760986328125,146537600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-27,AAPL,74.88361578521364,75.29660147871274,73.63257861706,74.61553955078125,161940000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28,AAPL,75.49706227081296,76.89783652233591,75.39804092914581,76.72636413574219,162234000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-29,AAPL,78.3589677479383,79.18011122783992,77.61752038824181,78.3323974609375,216229200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-30,AAPL,77.4146666313588,78.27203580279424,76.9823558087521,78.21890258789062,126743200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,AAPL,77.50883992680524,77.93148808362285,74.45611650102718,74.75076293945312,199588400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-03,AAPL,73.49248476536589,75.71199229580401,72.99014040911702,74.54548645019531,173788400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-04,AAPL,76.151548831137,77.19730542119127,75.74580830506335,77.00650787353516,136616400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-05,AAPL,78.13437974665777,78.43386124893598,77.03066957303884,77.63445281982422,118826800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-06,AAPL,77.90492749554984,78.54493610664728,77.34703250149894,78.54251861572266,105425600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-07,AAPL,78.0414266120576,78.29077542045333,76.98350975131173,77.47494506835938,117684000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10,AAPL,76.05871954270658,77.8428955078125,75.97883426440146,77.8428955078125,109348800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-11,AAPL,78.33919062909048,78.4118136218486,77.15538413187909,77.37326049804688,94323200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-12,AAPL,77.82353527181141,79.215532428976,77.82353527181141,79.210693359375,113730400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
